place_id,day,hour,busy_percent
cd79040c-b185-57a0-a201-5ee41101c098,Senin,23,51
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,6,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,7,60
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,8,85
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,9,89
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,10,81
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,11,67
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,12,61
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,13,59
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,14,66
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,15,79
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,16,100
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,17,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,18,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,19,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,20,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,21,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,22,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,23,0
347397bb-f3b4-56f6-88ce-10e294cf3183,Senin,7,46
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,4,24
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,5,24
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,6,19
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,7,17
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,8,17
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,9,9
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,10,12
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,11,4
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,12,4
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,13,9
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,14,17
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,15,29
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,16,26
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,17,24
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,18,21
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,19,24
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,20,34
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,21,48
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,22,53
98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Senin,23,46
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,4,14
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,5,20
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,6,21
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,7,26
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,8,25
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,9,26
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,10,21
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,11,23
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,12,23
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,13,28
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,14,39
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,15,60
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,16,82
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,17,87
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,18,70
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,19,60
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,20,56
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,21,67
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,22,71
3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Senin,23,60
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,4,22
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,5,33
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,6,38
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,7,55
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,8,50
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,9,50
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,10,33
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,11,33
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,12,33
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,13,44
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,14,33
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,15,38
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,16,22
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,17,38
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,18,55
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,19,61
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,20,55
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,21,33
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,22,33
a799dc75-2e43-543b-969f-97aa5cfe5d9e,Senin,23,33
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,4,15
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,5,19
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,6,30
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,7,45
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,8,60
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,9,70
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,10,83
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,11,82
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,12,82
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,13,77
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,14,84
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,15,90
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,16,100
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,17,96
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,18,86
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,19,87
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,20,84
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,21,80
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,22,68
b35883fe-7d8f-5704-877e-841fc17c65c6,Senin,23,58
