id,place_id,text,rating,hash
51218ca6-4e70-5317-8aa5-17dcaea5ff1b,ba916dfd-8701-51ab-9018-18f130537be9,"Roselyn | 1 ulasan | 7 bulan lalu | Dalam beberapa kesempatan saat memesan layanan Grab/Gojek motor, saya mendapati adanya keluhan dari driver mengenai aturan wajib melepas helm dan menyerahkan KTP sebelum masuk area komplek. Sayangnya, pada beberapa kejadian, keluhan … Lainnya | Suka | Bagikan",,2b009696b922
78fdb347-f011-57b1-88c1-c7997cd78c72,ba916dfd-8701-51ab-9018-18f130537be9,Sarah audyna | Local Guide · 8 ulasan · 5 foto | 6 bulan lalu | Perumahan dengan sistem keamanan TERTOLOL ! kalo lu ngerasa demi keamanan maka harus titip KTP serta serta HELM kenapa gak sekalian lo buat aje pengantaran FOOD atau PAKET hanya sampai gerbang depan sisa nya SECURITY yg antar sendiri ke … Lainnya | Suka | Bagikan,,910195856650
49cdbd00-fe63-5fdb-87e0-dfc3d06d2a1f,1baaafac-f894-5022-b084-4100f0ab7244,"Masyrufi 7 | Local Guide · 64 ulasan · 87 foto | 2 bulan lalu | Sore ini saya datang sendiri, tidak ada sambutan bahkan saya harus mencari waiternya untuk sekedar menanyakan tempat memesan dan tempat duduk untuk satu orang, saya pesan nasi goreng chicken katsu dan americano yang saya pikir americano ini … Lainnya | 0:03 | 0:06 | 0:06 | +2 | Suka | Bagikan",,c94f4834ef31
7e78c568-cd14-5b0e-a049-72c3e39d2d0f,1baaafac-f894-5022-b084-4100f0ab7244,"Zaki Rahmat27 | 2 ulasan · 2 foto | 2 bulan lalu | baru kali ini nongkrong disini pelayanan nya kurang banget mesen minuman 1 jam lebih baru di antar alasannya cupnya habis,lebih di perhatikan lagi stok opnamenya harus nya udah tau kondisi saat rame dan tidak bintang 1 kecewa minuman yang biasanya di seal ini tidak Lainnya | Suka | Bagikan",,b461d883084c
375d4ce0-49d9-59ac-b606-22b046a1f60d,1baaafac-f894-5022-b084-4100f0ab7244,"ROBIATUL ADAWIYAH | 6 ulasan · 4 foto | 4 bulan lalu | Tempat yg bener2 nyaman buat bengong bengong santai suasana tenang dekat kolam sambil dengar suara air bikin pikiran rileks, makannya best bgt minuman nya pun dari yg manis sampai pait best juga 🤍👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼 … Lainnya | Suka | Bagikan",,dc7165ca2309
72662475-26fa-5a1a-85dd-e8e097d56ae9,cd79040c-b185-57a0-a201-5ee41101c098,"Adam Dermawan | Local Guide · 50 ulasan · 167 foto | 6 bulan lalu | Taman yang bagus dan sejuk walaupun luasnya terbatas dan danaunya kosong tidak ada isi ikan yang bisa dipandang, banyak pilihan jajanan yang bervariasi di luar taman. | +7 | 1 | Bagikan",,151596326e77
a4737e3f-7390-5e2e-affd-d568d15239d5,cd79040c-b185-57a0-a201-5ee41101c098,"Widi Nst | Local Guide · 141 ulasan · 1.201 foto | setahun lalu | Taman ini lumayan hidden gem buat warga sekitar Cengkareng. Pas gw ke sini, kesan pertama: adem, cukup luas, dan asri walaupun lokasinya di tengah permukiman yang rame. Ada jogging track, tempat duduk, dan area terbuka hijau yang bisa buat … Lainnya | +2 | 1 | Bagikan",,21a86ec217b0
bce698bc-22a5-5745-bfba-5f3769dc40fb,cd79040c-b185-57a0-a201-5ee41101c098,"Missnonna | Local Guide · 30 ulasan · 33 foto | 10 bulan lalu | Tamannya luas, bagus banget, toilet ada, playground ada, ada danau, ada lapangan buat futsal, cocok buat jogging, senam, bener2 tempat healing dan olahraga hemat budget.. | +4 | Suka | Bagikan",,f1695ebca600
03046594-aad1-5e09-86bb-f6d77012755d,347397bb-f3b4-56f6-88ce-10e294cf3183,"Reyhan Aes | Local Guide · 382 ulasan · 1.342 foto | 2 tahun lalu | Ruang terbuka hijau yang sebenarnya cukup bermanfaat untuk warga sekitar. Namun sayangnya jam buka baru mulai jam 7, dan sudah tutup jam 5. Beberapa titik perlu perawatan. Namun secara umum masih bisa digunakan dengan baik untuk sekedar menghirup udara segar. | +8 | Suka | Bagikan",,2ff14c64bd4f
fd981e9c-0cc6-5467-ad13-213121f659c6,347397bb-f3b4-56f6-88ce-10e294cf3183,zahra jihat | 2 ulasan · 14 foto | setahun lalu | buka jam 07:00 pagi - tutup jam 17:00 sore. | adem banyak pepohonan dan tempat buat duduk bareng keluarga. | tempat parkir luas aman ada di dalam juga. Lainnya | +7 | Suka | Bagikan,,938905f24e60
